product_name,category,subcategory,brand,short_description,long_description,specifications,price,product_url
Cámara Termográfica Fotric 345M-L25,Termografía,Cámaras Termográficas,FOTRIC,Cámara termográfica avanzada con resolución 320x240 y opciones de lentes intercambiables (Producto discontinuado).,"La Fotric 345M-L25 es una cámara termográfica avanzada, diseñada para profesionales en la industria Eléctrica, Petróleo&Gas y manufacturera. Su resolución de 320x240, 30mk NETD, pantalla táctil LCD de 5” y opciones de lentes intercambiables mejoran el rendimiento operativo en campo.","Resolución: 320x240; Sensibilidad: 40 mk; Rango de temperatura: -20°C a 650°C; Pantalla táctil 5"" IPS; Cámara digital 13 MP; Lentes intercambiables; Grado de protección IP54",Consultar,https://pbt.com.bo/producto/camara-termografica-fotric-345m-l25/
Cámara termográfica industrial 384*288 (FOTRIC Ti5),Termografía,Cámaras Termográficas Industriales,FOTRIC,Cámara térmica industrial con resolución IR 384×288 y objetivo gran angular de 44°.,"Lleve su cámara termográfica al siguiente nivel con la cámara térmica FOTRIC Ti5. Equipada con múltiples modos de enfoque para mediciones ultra precisas, ofrece una resolución IR mejorada de 384×288 y sensibilidad térmica <40 mK, diseño robusto y objetivo gran angular de 44°.",Resolución IR: 384×288; Sensibilidad térmica: <40 mK; Múltiples modos de enfoque; Objetivo gran angular de 44°; Diseño robusto para entornos exigentes,Consultar,https://pbt.com.bo/producto/camara-termografica-industrial-384288/
Cámara termográfica industrial 640*480 (FOTRIC Ti7),Termografía,Cámaras Termográficas Industriales,FOTRIC,Cámara térmica industrial de alta resolución 640×480 y sensibilidad <30 mK.,"La cámara térmica FOTRIC Ti7 ofrece mediciones ultra precisas con resolución IR de 640×480 y sensibilidad térmica <30 mK. Su diseño robusto garantiza fiabilidad en entornos exigentes, complementado con un objetivo gran angular de 44° para diversas aplicaciones.",Resolución IR: 640×480; Sensibilidad térmica: <30 mK; Múltiples modos de enfoque; Objetivo gran angular de 44°; Diseño robusto industrial,Consultar,https://pbt.com.bo/producto/camara-termografica-industrial-640480/
Cámara termográfica Profesional 284×288 (FOTRIC 345A),Termografía,Cámaras Termográficas Profesionales,FOTRIC,Cámara térmica portátil avanzada con resolución 320x240 y NETD de 30 mK.,"La FOTRIC 345A es una cámara térmica portátil avanzada diseñada para las industrias eléctrica, petróleo, gas y fabricación. Cuenta con resolución térmica de 320×240, NETD de 30 mK, pantalla táctil LCD de 5"", lentes intercambiables y compatibilidad con software AnalyzIR.","Resolución térmica: 320×240; Sensibilidad (NETD): 30 mK; Pantalla táctil LCD de 5""; Objetivos intercambiables; Compatible con software AnalyzIR",Consultar,https://pbt.com.bo/producto/camara-termografica-profesional-284x288/
Cámaras termográficas Profesional 640×480 (FOTRIC 348A),Termografía,Cámaras Termográficas Profesionales,FOTRIC,Cámara térmica avanzada de 640x480 con enfoque automático asistido por láser.,"La FOTRIC 348A es una cámara térmica de mano avanzada para mantenimiento industrial. Destaca por su resolución térmica de 640x480, 40mk NETD, pantalla táctil LCD de 5"", enfoque automático asistido por láser, lentes intercambiables y software AnalyzIR Pro.","Resolución térmica: 640x480; Sensibilidad (NETD): 40 mk; Pantalla táctil LCD 5""; Enfoque automático asistido por láser; Lentes intercambiables",Consultar,https://pbt.com.bo/producto/camara-termografica-profesional-640x480/
Comprobador de tensión bipolar Sonel P-5,Indicador,Comprobadores de Tensión,Sonel,"Probador bipolar con medición de resistencia, pantalla LCD y prueba de disparo RCD.","El indicador de tensión bipolar Sonel P-5 es un probador extremadamente duradero y seguro para controlar tensión hasta 1000V, continuidad y secuencia de fases. Incluye pantalla LCD, medición de resistencia hasta 1999 Ω, prueba de disparo RCD y protección IP65.",Tensión hasta 1000V CA/CC; Medición de resistencia hasta 1999 Ω; Pantalla LCD retroiluminada y barra LED; Prueba de disparo RCD; Protección IP65; CAT IV 600V / CAT III 1000V,Consultar,https://pbt.com.bo/producto/comprobador-de-tension-bipolar-sonel-p-5/
Comprobador de tensión bipolar Sonel P-4,Indicador,Comprobadores de Tensión,Sonel,"Probador bipolar robusto con barra LED, prueba de disparo RCD y protección IP65.","El indicador de tensión bipolar Sonel P-4 es un probador fiable y duradero para controlar la tensión, la continuidad del circuito y la secuencia de fases. Diseñado para condiciones industriales con protección IP65, indicación visual por barra LED y prueba de disparo RCD.",Tensión hasta 1000V CA/CC; Indicación visual mediante barra LED; Prueba de disparo RCD; Prueba de continuidad y rotación de fase; Protección IP65; CAT IV 600V / CAT III 1000V,Consultar,https://pbt.com.bo/producto/comprobador-de-tension-bipolar-sonel-p-4/
Comprobador de tensión bipolar Sonel P-6,Indicador,Comprobadores de Tensión,Sonel,"Probador bipolar avanzado con identificación de fase única, pantalla LCD y medición de resistencia.","El indicador de tensión bipolar Sonel P-6 cuenta con una característica única de identificación de fase, permitiendo controlar tensión hasta 1000V, continuidad y secuencia de fases. Incluye pantalla LCD, medición de resistencia, prueba de disparo RCD y protección IP65.",Identificación de fase; Tensión hasta 1000V CA/CC; Medición de resistencia hasta 1999 Ω; Pantalla LCD y barra LED; Prueba de disparo RCD; Protección IP65; CAT IV 600V / CAT III 1000V,Consultar,https://pbt.com.bo/producto/comprobador-de-tension-bipolar-sonel-p-6/
Comprobador de tensión sin contacto VT-2,Indicador,Comprobadores de Tensión,Sonel,Detector de tensión alterna sin contacto (90…1000 V) con linterna LED.,"El Sonel VT-2 es un dispositivo profesional compacto para la detección sin contacto de tensión alterna. Ideal para lugares estrechos y de difícil acceso, combina una construcción sólida con gran comodidad de uso y señalización acústica/visual.",Rango: 90…1000 V AC; Indicadores: LED y zumbador; Categoría: CAT III 1000 V; Protección: IP54; Linterna LED blanca; Alimentación: 2 x AAA,Consultar,https://pbt.com.bo/producto/comprobador-de-tension-sin-contacto-vt-2/
Comprobador de tensión sin contacto VT-3,Indicador,Comprobadores de Tensión,Sonel,Detector de tensión de bolsillo con rango dual (12V / 100-1000V) y protección IP67.,El Sonel VT-3 permite detectar tensión en cables y equipos con dos rangos seleccionables. Su carcasa de dos compuestos es resistente al agua (IP67) y cuenta con puntas retroiluminadas y doble linterna (frontal y trasera) para máxima visibilidad.,Rango dual: 12V y 100…1000 V; Protección: IP67 (sumergible); Señalización: Luz y sonido; Linterna LED integrada; Carcasa ergonómica; Alimentación: 2 x AAA,Consultar,https://pbt.com.bo/producto/comprobador-de-tension-sin-contacto-vt-3/
Comprobador multifuncional Sonel MPI-502F,Energía Eléctrica,Comprobadores Multifunción,Sonel,"Medidor multifunción compacto para impedancia de bucle, RCD y continuidad.","El MPI-502F es uno de los instrumentos multifuncionales más pequeños del mercado. Permite medir impedancia de bucle de cortocircuito, probar RCD tipo AC y A, y medir resistencia de conductores de protección con alta precisión y diseño ergonómico.","Impedancia de bucle (L-PE, L-N, L-L); Prueba RCD (tiempo y corriente); Resistencia ±200 mA; Memoria: 990 resultados; Bluetooth; Protección: IP67; CAT IV 300V",Consultar,https://pbt.com.bo/producto/comprobador-multifuncion-rcd-de-instalaciones-electricas-mpi-502f/
