product_name,category,subcategory,brand,short_description,long_description,specifications,price,product_url
Pinza amperimétrica digital CMP-1015-PV,Pinzas,Equipos de Medición,SONEL,Pinza especializada para sistemas fotovoltaicos de hasta 1500 V DC.,"Diseñada específicamente para la industria solar, permite medir tensiones de hasta 1500V DC. Incluye función VFD para variadores, registrador con gráficos en tiempo real y pantalla de alto brillo ideal para trabajar bajo luz solar directa.","Tensión: 1500V DC; Función: VFD, Low Z e INRUSH; Registro: Gráficos en pantalla; Pantalla: Alto brillo / retroiluminada; Comunicación: Bluetooth; Protección: Carcasa de goma; Linterna integrada",Consultar,https://pbt.com.bo/producto/pinza-amperometrica-digital-cmp-1015-pv/
Pinza amperimétrica SONEL CMP-3000,Pinzas,Equipos de Medición,SONEL,Pinza robusta para profesionales con medición de hasta 3000A AC.,Equipo de alta gama que permite conectar una pinza flexible para medir hasta 3000A en barras de gran tamaño (160mm). Incluye detector de tensión sin contacto en el borde de la mordaza y comunicación Bluetooth para gestión de datos.,"Corriente: 3000A AC (con pinza flexible); Funciones: PEAK, REL, MAX/MIN; Mordaza: Diseño innovador con sensor NCV; Protección: IP40; Comunicación: Bluetooth; Linterna integrada; Pantalla iluminada",Consultar,https://pbt.com.bo/producto/pinza-amperometrica-sonel-cmp-3000/
Pinza voltamperimétrica digital CMP-1006,Pinzas,Equipos de Medición,SONEL,Pinza industrial de 1000A AC/DC con protección contra caídas.,"Herramienta profesional para medir altas corrientes en conductores de hasta 34mm. Su carcasa de elastómero la protege de impactos, siendo ideal para mantenimiento de plantas, servicios públicos y especialistas en HVACR.","Corriente AC/DC: 1000A; Tensión: 600V AC/DC (TRMS); Mordaza: 34mm Ø; Función: INRUSH y DCA ZERO; Medición: Temp, Freq, Resistencia; Protección: IP40 reforzada; Pantalla: LED retroiluminada",Consultar,https://pbt.com.bo/producto/pinza-voltamperometrica-digital-cmp-1006/
Pirómetro SONEL DIT-120,Pirómetros,Equipos de Medición,SONEL,Medidor de temperatura infrarrojo con puntero láser doble y protección IP54.,"Termómetro sin contacto para profesionales que requieren precisión en áreas como transformadores y motores. El puntero láser doble define exactamente el área de medición, asegurando lecturas fiables entre -50°C y 650°C.","Rango: -50°C a 650°C; Factor D:S: 12:1; Emisividad: Ajustable (0.10 a 1.00); Láser: Doble; Protección: IP54; Funciones: MAX, MIN, DIF, AVG; Pantalla: Retroiluminada",Consultar,https://pbt.com.bo/producto/pirometros-dit-120/
Pirómetro SONEL DIT-130,Pirómetros,Equipos de Medición,SONEL,(Discontinuado) Pirómetro compacto con memoria para 20 registros.,Dispositivo de manejo intuitivo con una sola mano. Permite medir temperatura por infrarrojos y mediante sonda tipo K. Incluye alarmas de umbral alto/bajo y una funda para cinturón para fácil transporte.,Resolución: 0.1°C; Emisividad: Ajustable; Memoria: 20 mediciones; Sonda: Compatible tipo K; Funciones: Data HOLD y Alarmas Hi/Lo; Pantalla: LCD iluminada,Consultar,https://pbt.com.bo/producto/pirometros-dit-130/
Pirómetro SONEL DIT-200,Pirómetros,Equipos de Medición,SONEL,Pirómetro profesional reforzado para procesos metalúrgicos y térmicos.,"Similar al modelo 120 pero con una estructura optimizada para el sector industrial. Es ideal para supervisar equipos de refrigeración, rodillos y cojinetes en condiciones de trabajo exigentes gracias a su carcasa ergonómica.",Rango: -50°C a 650°C; Factor D:S: 12:1; Emisividad: 0.10 a 1.00; Láser: Doble; Protección: Estructura reforzada IP54; Unidades: °C / °F; Apagado automático,Consultar,https://pbt.com.bo/producto/pirometros-dit-200/
Pirómetro SONEL DIT-500,Pirómetros,Equipos de Medición,SONEL,Pirómetro de alta precisión con entrada para sonda tipo K.,"Combina la rapidez de la medición infrarroja con la precisión de contacto mediante sonda tipo K. Incluye funciones de cálculo diferencial y promedio, además de una memoria interna para almacenar datos de campo.",Rango: Amplio; Medición: Infrarrojo + Sonda K; Emisividad: Digital ajustable; Memoria: 20 registros (LOG); Alarmas: Hi/Lo configurables; Pantalla: LCD retroiluminada,Consultar,https://pbt.com.bo/producto/pirometros-dit-500/
Probador de secuencia de fases TKF-12,Probador de fases,Equipos de Medición,SONEL,Detector de secuencia de fases y dirección de rotación de motores.,Herramienta esencial para electricistas que instalan sistemas trifásicos. Indica la secuencia de fases en redes de hasta 690V y verifica si el eje de un motor girará en el sentido correcto antes de conectarlo a la alimentación.,Tensión: 160 a 690V AC; Frecuencia: 10 a 70 Hz; Indicación: Lámparas de neón; Protección: IP42; Detección: Campo magnético; Seguridad: Doble aislamiento EN 61010-1,Consultar,https://pbt.com.bo/producto/probador-de-secuencia-de-fases-y-direccion-de-rotacion-del-motor-tkf-12/
Probador de secuencia de fases TKF-12L,Probador de fases,Equipos de Medición,SONEL,Probador de alta sensibilidad (desde 29V) para redes trifásicas.,"Herramienta ergonómica diseñada para verificar la secuencia de fases y la dirección de rotación del motor. Destaca por su rango récord de detección: indica presencia de tensión a partir de los 29V AC, lo que lo hace extremadamente sensible y seguro.",Tensión: 35 a 690V AC; Detección tensión: desde 29V AC; Frecuencia: 10 a 70 Hz; Protección: IP42; Aislamiento: Doble (PN-EN 61010-1); Indicación: Lámparas de neón,Consultar,https://pbt.com.bo/producto/probador-de-secuencia-de-fases-y-direccion-de-rotacion-del-motor-tkf-12l/
Probador de secuencia de fases TKF-13,Probador de fases,Equipos de Medición,SONEL,Probador avanzado con detección de rotación de motor inalámbrica.,"El TKF-13 permite verificar la secuencia de fases y el sentido de giro del motor tanto por método alámbrico como inalámbrico (sin contacto). Es ideal para motores donde no se puede acceder a los bornes directamente, detectando el campo magnético.",Tensión: 120 a 690V AC; Frecuencia: 2 a 70 Hz; Método: Alámbrico e Inalámbrico (sin contacto); Protección: IP42; Detección: Campo magnético; Diseño: Ergonómico,Consultar,https://pbt.com.bo/producto/probador-de-secuencia-de-fases-y-direccion-de-rotacion-del-motor-tkf-13/
