product_name,category,subcategory,brand,short_description,long_description,specifications,price,product_url
Multímetro Digital Portátil SONEL CMM-11,Multímetros,Equipos de Medición,SONEL,Multímetro de bolsillo ultra resistente con IP65 y comunicación Bluetooth.,"El CMM-11 es un dispositivo compacto diseñado para diagnósticos rápidos en condiciones difíciles. Su carcasa con elastómero lo protege de caídas, cuenta con linterna integrada y permite enviar datos en tiempo real a la App Sonel Multimeter Mobile.",Protección: IP65; Bluetooth: Sí (App móvil); Linterna integrada; Pantalla iluminada; Diseño compacto de bolsillo; Carcasa de goma resistente a impactos,Consultar,https://pbt.com.bo/producto/multimetro-digital-cmm-11-sonel/
Multímetro industrial avanzado Sonel CMM-60,Multímetros,Equipos de Medición,SONEL,"Multímetro de alta precisión con pantalla a color y registro de 10,000 datos","El CMM-60 es una herramienta profesional de 50,000 cuentas para diagnosticar equipos electromecánicos y redes industriales. Incluye funciones avanzadas como Trend Capture (gráficos de tendencia), registro de datos, filtro paso bajo y comunicación Bluetooth.","Pantalla: 3.5” TFT Color; Cuentas: 50,000; Memoria: 10,000 registros; True RMS (10kHz); IP67; Batería Li-Poly recargable; Funciones AC+DC y Peak HOLD",Consultar,https://pbt.com.bo/producto/multimetro-industrial-avanzado-sonel-cmm-60/
Multímetro Industrial Sonel CMM-30,Multímetros,Equipos de Medición,SONEL,Multímetro robusto IP67 con 11 funciones y retroiluminación automática.,"El CMM-30 combina versatilidad y resistencia extrema. Ofrece 11 funciones básicas, medición de picos (PEAK) y comunicación inalámbrica Bluetooth. Su pantalla y botones se iluminan automáticamente según la luz ambiental, facilitando el trabajo con guantes.",Cuentas: 6000; Protección: IP67; Bluetooth: Sí; Linterna integrada; CAT IV 600V; Medición TRMS y AC+DC; Retroiluminación automática sensible a la luz,Consultar,https://pbt.com.bo/producto/multimetro-cmm-30-sonel/
Multímetro Industrial Sonel CMM-40,Multímetros,Equipos de Medición,SONEL,"Multímetro sólido de 40,000 cuentas para servicios industriales y HVAC.","El CMM-40 es excepcionalmente versátil, permitiendo medir tensión/corriente True RMS, bucle 4-20 mA, temperatura y capacidad. Su diseño ergonómico y seguridad CAT IV 600V lo hacen la herramienta básica para especialistas en energía e ingeniería sanitaria.","Cuentas: 40,000; True RMS; Bucle 4-20 mA; Protección: IP67; Función AC+DC; Registro de MAX/MIN; CAT IV 600 V / CAT III 1000 V",Consultar,https://pbt.com.bo/producto/multimetro-industrial-sonel-cmm-40/
Nivel láser Trotec BD5A,Herramientas,Nivel láser,TROTEC,Nivel de líneas cruzadas autonivelante con alcance de 10 metros.,"Herramienta compacta para alineación precisa en construcción y bricolaje. Proyecta líneas cruzadas, horizontales o verticales. Cuenta con función de autonivelación automática y señal visual de advertencia si está fuera de nivel.","Alcance: 10m; Precisión: ±0.8 mm/m; Autonivelación: ±4°; Tipo Láser: Clase 2 (650 nm); Soporte con ventosa y pinza incluido; Rosca para trípode 1/4""",Consultar,https://pbt.com.bo/producto/nivel-laser-bd5a/
Nivel láser Trotec BD7A,Herramientas,Nivel láser,TROTEC,Nivel láser de 360° con batería recargable y autonivelación rápida.,"El BD7A permite proyectar una línea horizontal de 360° en todas las paredes simultáneamente, ideal para instalaciones niveladas en habitaciones completas. Se carga vía micro-USB y cuenta con una batería de litio para 5 horas de uso continuo.",Proyección: 360° Horizontal + Vertical; Alcance: 10m; Precisión: ±0.8 mm/m; Batería: Litio 3.7V; Carga: Micro-USB; Autonivelación: 3°; Tiempo nivelación: <6s,Consultar,https://pbt.com.bo/producto/nivel-laser-bd7a/
Pinza SONEL CMP-100,Pinzas,Equipos de Medición,SONEL,Pinza para corrientes fuga con alta resolución de 1 μA y filtro paso bajo.,"Especializada en medir corrientes muy pequeñas con extrema precisión. Su diseño moderno permite acceso a lugares estrechos, mientras que su filtro de paso bajo elimina interferencias de alta frecuencia para resultados más exactos.",Cuentas: 6000; Resolución: 1 μA; Filtro paso bajo; True RMS; Linterna integrada; Pantalla LCD 4 dígitos; Carcasa de goma resistente,Consultar,https://pbt.com.bo/producto/pinza-sonel-cmp-100/
Pinza SONEL CMP-1010,Pinzas,Equipos de Medición,SONEL,Pinza amperimétrica AC/DC con función VFD para variadores de frecuencia.,"Multímetro de pinza versátil que permite medir tensión de baja impedancia (Low Z) y corrientes de arranque (INRUSH). Gracias a la función VFD, es ideal para realizar mediciones precisas detrás de convertidores de frecuencia e inversores.",Cuentas: 6000; Corriente: AC/DC; Función VFD e Inrush; Detector de tensión sin contacto; Medición Low Z; True RMS; Linterna integrada; Categoría CAT IV,Consultar,https://pbt.com.bo/producto/pinza-amperimetrica-sonel-cmp-1010/
Pinza amperimétrica digital CMP-3kR,Pinzas,Equipos de Medición,SONEL,Pinza flexible de hasta 3000A con registrador de datos y Bluetooth.,"Innovador medidor con pinza flexible de 160mm de diámetro, ideal para barras de alimentación gruesas. Incluye un registrador RTC para grabar corrientes durante 24 horas (1 dato/seg) y comunicación Bluetooth para gestión de informes desde el móvil.",Corriente: Hasta 3000A AC; Pinza flexible: 160mm Ø; Registrador: 24h con RTC; Comunicación: Bluetooth (App Sonel); Función: INRUSH; Protección: Carcasa de goma; Soporte magnético,Consultar,https://pbt.com.bo/producto/pinza-amperimetrica-digital-cmp-3kr/
Pinza amperimétrica SONEL CMP-200,Pinzas,Equipos de Medición,SONEL,Medidor de bolsillo para corrientes de fuga con resolución de 0.1 mA.,Dispositivo especializado en la detección de fallas y corrientes de fuga que pueden disparar diferenciales (RCD). Su diseño compacto y ligero lo hace ideal para inspecciones rápidas en espacios reducidos y mantenimiento industrial.,Corriente AC: Hasta 200A; Resolución: 0.1 mA; Rangos: 200mA/2A/200A; Mordaza: 30mm Ø; Funciones: HOLD/MAX; Pantalla retroiluminada; Apagado automático,Consultar,https://pbt.com.bo/producto/pinza-amperimetrica-sonel-cmp-200/
Pinza amperimétrica SONEL CMP-2000,Pinzas,Equipos de Medición,SONEL,Pinza industrial de alto rango hasta 2000A con mordaza de 57mm.,Diseñada para electricistas profesionales que trabajan con cables de gran diámetro o rieles. Permite medir corrientes TRMS AC/DC y cuenta con la función INRUSH para capturar picos de arranque. Incluye doble pantalla LCD para ver múltiples valores.,"Corriente AC/DC: Hasta 2000A; Mordaza: 57mm (Rieles 70x18mm); Función: INRUSH; Tensión: 1000V DC / 750V AC; Medición: Temp, Freq, Capacidad; Doble LCD; Protección sobrecarga",Consultar,https://pbt.com.bo/producto/pinza-amperometrica-sonel-cmp-2000/
Pinza amperimétrica SONEL CMP-200F,Pinzas,Equipos de Medición,SONEL,Medidor tipo horquilla (mordaza abierta) para mediciones rápidas.,"Su diseño de mordaza abierta permite realizar mediciones de corriente sin necesidad de abrir y cerrar la pinza, ideal para cuadros eléctricos estrechos. Incluye detector de tensión sin contacto y función LowZ para eliminar tensiones fantasma.",Cuentas: 6000; Diseño: Horquilla (abierta); Función: LowZ y NCV (Detector de tensión); Medición: TRMS; Linterna integrada; Pantalla iluminada; Registro: MIN/MAX,Consultar,https://pbt.com.bo/producto/pinza-amperimetrica-sonel-cmp-200f/
Pinza amperimétrica SONEL CMP-400,Pinzas,Equipos de Medición,SONEL,Pinza robusta de 400A AC con protección de elastómero anti-caídas.,"(Producto discontinuado - Soporte disponible) Herramienta fiable para entornos industriales y residenciales. Mide corriente AC, tensión, resistencia y temperatura. Su carcasa reforzada garantiza durabilidad ante daños mecánicos y caídas.","Corriente AC: 400A; Tensión: 600V AC/DC; Protección: IP40 con elastómero; Medición: Temp, Freq, Resistencia; Función: HOLD y Relativa; Pantalla LCD grande",Consultar,https://pbt.com.bo/producto/pinza-amperimetrica-sonel-cmp-400/
Pinza amperimétrica SONEL CMP-401,Pinzas,Equipos de Medición,SONEL,Pinza versátil de 400A AC/DC con medición de capacidad.,(Producto discontinuado - Soporte disponible) Similar al modelo 400 pero añade la capacidad de medir corriente continua (DC) y capacitancia. Ideal para técnicos de HVACR y mantenimiento eléctrico que requieren un equipo compacto y todoterreno.,"Corriente AC/DC: 400A; Tensión: 600V; Capacidad: Sí; Protección: Carcasa reforzada IP40; Pantalla iluminada; Medición: Temp, Freq, Resistencia, Diodos",Consultar,https://pbt.com.bo/producto/pinza-amperimetrica-sonel-cmp-401/
Pinza Amperimétrica SONEL CMP-402,Pinzas,Equipos de Medición,SONEL,Pinza AC con función VFD para motores y variadores de frecuencia.,Modelo moderno diseñado para trabajar con convertidores de frecuencia e inversores. Su diseño innovador facilita el acceso a lugares estrechos y cuenta con un sensor de tensión sin contacto en el borde de la mordaza.,Corriente AC: 400A; Función: VFD (Filtro variadores); INRUSH: Sí; Medición: TRMS; Linterna integrada; NCV (Detector tensión); Carcasa de goma resistente,Consultar,https://pbt.com.bo/producto/pinza-amperimetrica-sonel-cmp-402/
Pinza amperimétrica SONEL CMP-403,Pinzas,Equipos de Medición,SONEL,Pinza AC/DC avanzada con función VFD y corriente de arranque.,"La versión más completa de la serie 400, que suma medición de corriente continua (DC). Excelente para diagnósticos en sistemas industriales complejos, motores con variadores y sistemas solares gracias a su versatilidad TRMS.",Corriente AC/DC: 400A; Función: VFD e INRUSH; Medición: TRMS; Tensión: AC/DC; Linterna integrada; Diseño ergonómico; Pantalla 4000 cuentas; Sensor NCV,Consultar,https://pbt.com.bo/producto/pinza-amperimetrica-sonel-cmp-403/
