product_name,category,subcategory,brand,short_description,long_description,specifications,price,product_url
Registrador InTemp CX405 RTD,Interior,Registro ambiental,HOBO,Monitor de hielo seco (-95°C) con pantalla LCD y Bluetooth.,Diseñado para el monitoreo de vacunas y productos farmacéuticos en temperaturas ultrabajas. Utiliza una sonda RTD de 1.5m con funda anticorte. Permite visualización de min/max diarias en su LCD y cumple con la normativa 21 CFR Parte 11.,Rango: -95°C a 50°C; Conexión: Bluetooth (BLE); Sonda: Externa 1.5m; Pantalla: LCD integrada; Certificación: NIST incluida; Alarma: Audible y visual; Baterías: AAA reemplazables,Consultar,https://pbt.com.bo/producto/registrador-de-datos-de-hielo-seco-intemp-cx405-rtd/
Registrador HOBO MX2301A,Exterior,Registro ambiental,HOBO,Registrador Bluetooth de Temp/HR con carcasa resistente a la intemperie.,"Equipo compacto con sensores integrados para medir temperatura y humedad relativa en exteriores. Su tecnología Bluetooth permite descargar datos sin abrir la carcasa, facilitando el acceso en lugares difíciles.",Precisión: ±0.2°C y ±2.5% HR; Conexión: Bluetooth (30m rango); Protección: Resistente a la intemperie; App: HOBOconnect; Montaje: Integrado; Alarmas: Visuales,Consultar,https://pbt.com.bo/producto/registrador-de-datos-de-temperatura-hr-hobo-mx2301a/
Registrador HOBO U23-001A,Exterior,Registro ambiental,HOBO,Registrador clásico de Temp/HR con interfaz USB óptica.,"Dispositivo robusto para exteriores o ambientes con condensación. Destaca por su alta precisión y su sensor de humedad de respuesta rápida, ideal para estudios ecológicos o agrícolas de larga duración.",Sensores: Integrados; Interfaz: USB óptica (requiere base); Software: HOBOware / Pro; Carcasa: Resistente a la intemperie; Durabilidad: Alta en ambientes húmedos,Consultar,https://pbt.com.bo/producto/registrador-de-datos-de-temperatura-humedad-relativa-hobo-u23-001a/
Registrador HOBO MX2302A,Exterior,Registro ambiental,HOBO,Registrador Bluetooth con sensores externos de Temp/HR.,"Similar al MX2301A pero con sensores situados en un cable externo, lo que permite medir dentro de espacios reducidos, ductos o cajas mientras el registrador permanece accesible.",Sensores: Externos (Temp/HR); Conexión: Bluetooth; Precisión: ±0.2°C y ±2.5% HR; Protección: Resistente a la intemperie; App: HOBOconnect,Consultar,https://pbt.com.bo/producto/registrador-de-datos-del-sensor-externo-de-temperatura-rh-hobo-mx2302a/
Registrador HOBO H21-USB,Exterior,Registro ambiental,HOBO,Micro estación meteorológica USB de 5 canales para sensores inteligentes.,"Estación compacta e IP66 que acepta hasta 5 sensores ""plug-and-play"" (viento, lluvia, humedad suelo, etc.). Ideal para monitoreo multicanal de microclimas con descarga directa a PC mediante puerto USB.",Entradas: 5 sensores inteligentes; Conexión: USB directo; Protección: IP66; Alimentación: 4 pilas AA (hasta 1 año); Software: HOBOware,Consultar,https://pbt.com.bo/producto/registrador-de-datos-hobo-h21-usb/
Registrador InTemp CX602,Interior,Registro ambiental,HOBO,Registrador de hielo seco de UN SOLO USO (90 días) para envíos.,Dispositivo compacto y desechable para el tránsito de productos farmacéuticos. Registra hasta 90 días de datos de temperatura ultrabaja sin necesidad de abrir el contenedor para descargar la información vía Bluetooth.,Duración: 90 días (un solo uso); Rango: -95°C a 50°C; Sonda: 1.5m con funda anticorte; Conexión: Bluetooth; Certificación: NIST de 3 puntos; Batería: Cumple IATA,Consultar,https://pbt.com.bo/producto/registrador-de-hielo-seco-intemp-cx602/
Registrador InTemp CX603,Interior,Registro ambiental,HOBO,Registrador de hielo seco MULTIUSO (365 días) para cadena de frío.,"Versión de larga duración de la serie CX600, capaz de registrar datos hasta por un año. Es ideal para envíos recurrentes o almacenamiento prolongado en congeladores de ultra baja temperatura.",Duración: Hasta 365 días; Rango: -95°C a 50°C; Sonda: 1.5m con funda anticorte; Conexión: Bluetooth; Seguridad: Datos cifrados; Certificación: NIST de 3 puntos,Consultar,https://pbt.com.bo/producto/registrador-de-hielo-seco-intemp-cx603/
Registrador de lluvia HOBO RG3,Exterior,Registro ambiental,HOBO,Pluviómetro de cubeta basculante con registrador de eventos.,"Sistema completo para medir precipitación. Registra cada ""vuelco"" de la cubeta con fecha y hora, permitiendo determinar la intensidad de la lluvia. Puede registrar temperatura si se añade un escudo solar opcional.",Capacidad: Hasta 12.7 cm/h; Resolución: 0.2 mm por punta; Registro: Eventos (Pendant); Software: HOBOware; Opcional: Sensor de temperatura,Consultar,https://pbt.com.bo/producto/registrador-de-precipitacion-pluvial-hobo-rg3/
Registrador de temperatura InTemp CX402,Interior,Registro ambiental,HOBO,Monitor de vacunas compatible con CDC/VFC con botella de glicol,Diseñado para refrigeradores y congeladores clínicos. Utiliza una sonda en botella de glicol para amortiguar cambios bruscos de temperatura. Cumple con 21 CFR Parte 11 y se gestiona totalmente vía Bluetooth desde la App InTemp.,Precisión: ±0.5°C; Calibración: ISO 17025 (3 años); Pantalla: LCD con Min/Max; Conexión: Bluetooth (BLE); Alarmas: Audibles y visuales; Sonda: Externa (2m o 4m),Consultar,https://pbt.com.bo/producto/registrador-de-temperatura-intemp-cx402/
Registrador de temperatura MX2201,Interior,Registro ambiental,HOBO,Registrador Bluetooth compacto e impermeable hasta 30 metros.,"El Pendant MX es ideal para medir temperatura en arroyos, lagos u océanos, así como en suelos. Es resistente al agua, compacto y permite descargar datos sin cables en solo 45 segundos a través de la App HOBOmobile.","Memoria: 96,000 datos; Profundidad: Hasta 30.5m; Precisión: ±0.5°C; Batería: Reemplazable (1-2 años); Conexión: Bluetooth (BLE); Alarma: LED integrada",Consultar,https://pbt.com.bo/producto/regitrador-de-temperatura-mx2201-2/
