product_name,category,subcategory,brand,short_description,long_description,specifications,price,product_url
Registrador de termopar UX120-014M,Interior,Registro ambiental,HOBO,"Registrador de 4 canales para termopares (J, K, T, E, R, S, B, N).","Dispositivo de alta capacidad para medir un rango extremo de temperaturas (-260 a 1820 °C). Cuenta con pantalla LCD para estadísticas en tiempo real (máx, mín, promedio) y una memoria masiva de 1.6 millones de mediciones.",Canales: 4 externos + 1 interno (ambiente); Rango: -260 a 1820 °C; Memoria: 1.6M datos; LCD: Sí; Alarmas: En pantalla; Software: HOBOware / Pro,Consultar,https://pbt.com.bo/producto/regitrador-de-temperatura-con-sonda-externa-ux120-014m-2/
Registrador de temperatura ONSET MX2305,Interior,Registro ambiental,HOBO,Registrador Bluetooth IP67 resistente a la intemperie y alta precisión.,Diseñado para exteriores y condiciones exigentes. Su conectividad Bluetooth permite descargar datos en campo desde un móvil. Es ideal para agricultura y monitoreo climático gracias a su sellado hermético y batería de larga duración.,"Rango: -40 a 70 °C; Precisión: ±0.2 °C; Protección: IP67; Conexión: Bluetooth (BLE); Batería: 2-5 años (reemplazable); Memoria: 84,650 datos",Consultar,https://pbt.com.bo/producto/regitrador-de-temperatura-mx2305/
Registrador de temperatura UX100-001,Interior,Registro ambiental,HOBO,Registrador LCD compacto para monitoreo de confort en edificios.,Herramienta estándar para oficinas y salas de servidores. Registra tendencias de temperatura ambiente con facilidad. Requiere conexión USB y software HOBOware para la descarga de datos y análisis.,Entorno: Interior; Medición: Temperatura; Pantalla: LCD; Alarmas: Visuales; Modos: Ráfaga y estadísticas; Conexión: USB (requiere cable),Consultar,https://pbt.com.bo/producto/regitrador-de-temperatura-ux100-001-2/
Sensor autodescriptivo SD-TEMP,Accesorios,Registro ambiental,HOBO,"Sensor inteligente para aire, agua o suelo con conector de bloqueo.","Sonda de temperatura diseñada para los registradores MX1104/05. Su tecnología de autodescripción elimina la necesidad de configuración manual, siendo reconocido automáticamente por el equipo al conectarse.","Rango: -40 a 100 °C; Precisión: ±0.15 °C; Longitudes: 0.3m a 15.2m; Conector: Bloqueo seguro; Uso: Aire, agua y suelo",Consultar,https://pbt.com.bo/producto/sensor-de-temperatura-de-aire-agua-suelo-autodescriptivo-sd-temp/
Sensor de tubería SD-TEMP-P-06,Accesorios,Registro ambiental,HOBO,Sensor de respuesta rápida optimizado para montaje en tuberías.,"Sonda de 1.8 metros con tecnología de autodescripción. Su diseño está pensado para un contacto eficiente con superficies cilíndricas, ideal para sistemas HVAC y monitoreo de procesos industriales.",Rango: -40 a 100 °C; Longitud: 1.8m (6 pies); Uso: Montaje en tubería; Compatibilidad: MX1104 / MX1105; Alivio de tensión: Integrado,Consultar,https://pbt.com.bo/producto/sensor-de-temperatura-de-tuberia-autodescriptivo-de-6-pies-sd-temp-p-06/
Simulador de dedo Rigel PULS-R SpO2,Metrología biomédica,Equipos de Metrología,RIGEL,Simulador universal de SpO2 compacto con curvas R preprogramadas.,"Accesorio para simuladores Uni-Sim que permite verificar oxímetros de pulso con precisión del 1%. Incluye curvas de los principales fabricantes (Masimo, Nellcor, Philips) y permite configuraciones personalizadas.",Rango SpO2: 30-100%; Resolución: 1%; Compatibilidad: Marcas líderes; Conexión: Plug & Play; LED indicador: Sí; Diseño: Ergonómico / Universal,Consultar,https://pbt.com.bo/producto/simulador-de-dedo-rigel-puls-r-spo2/
Simulador Rigel PATSIM 200,Metrología biomédica,Equipos de Metrología,RIGEL,Simulador de paciente 12 derivaciones con pantalla a color.,Equipo rentable diseñado para pruebas rápidas de monitores de signos vitales. Permite guardar y recuperar las 5 simulaciones más usadas con un solo toque. Compatible con cables IBP y temperatura de modelos anteriores.,"Pantalla: Color de alto contraste; Funciones: ECG, IBP, Temperatura; Batería: Li-ion recargable; Conectores: ECG universales / Mini DIN; Peso: Ligero y portátil",Consultar,https://pbt.com.bo/producto/simulador-de-signos-vitales-rigel-patsim-200/
Simulador Rigel UNI-SiM,Metrología biomédica,Equipos de Metrología,RIGEL,Simulador de signos vitales 6 en 1 con conectividad Bluetooth.,"Herramienta integral que sincroniza NIBP, SpO2, ECG, Temp, IBP y Respiración. Permite automatizar protocolos de prueba y descargar certificados mediante Bluetooth al software Med-eBase.",Parámetros: 6 en 1; Conexión: Bluetooth; Memoria: Integrada; Operación: Manual y automática; Software: Med-eBase; Alimentación: Batería,Consultar,https://pbt.com.bo/producto/simulador-de-signos-vitales-rigel-uni-sim/
Martillo Perforador PRDS 05-230V,Herramientas,Atornillar y Taladrar,TROTEC,Martillo neumático de 620W con fuerza de impacto de 2.1 J.,"Herramienta versátil 3 en 1 para perforación, martilleo y cincelado. Su mecanismo neumático permite penetrar materiales duros sin esfuerzo físico del usuario. Incluye un portabrocas adicional para brocas de vástago redondo.","Potencia: 620W; Impacto: 2.1 J; Golpes: 6,400 min-1; Soporte: SDS-plus; Funciones: 3; Giro: 360° (cincel y mango); Peso: Ergonómico en L",Consultar,https://pbt.com.bo/producto/taladro-prds-05-230v/
Martillo Perforador PRDS 11-230V,Herramientas,Atornillar y Taladrar,TROTEC,"Martillo profesional de 1,600W y 6 julios de potencia.",Diseñado para tareas pesadas de construcción y demolición. Ofrece una fuerza de impacto superior (6 J) para hormigón y mampostería. Cuenta con amortiguación de vibraciones en la empuñadura principal para trabajos prolongados.,"Potencia: 1,600W; Impacto: 6 J; Funciones: Perforación, percusión, cincelado; Cable: 3m; Empuñadura: Antivibración; Maletín: Incluido",Consultar,https://pbt.com.bo/producto/taladro-prds-11-230v/
Taladro Percutor PHDS 10-230V,Herramientas,Atornillar y Taladrar,TROTEC,Taladro percutor compacto de 650W para uso universal.,"Herramienta eléctrica equilibrada para taladrado y atornillado en madera, metal y mampostería. Incluye control electrónico de velocidad y un tope de profundidad ajustable para trabajos repetitivos de precisión.","Potencia: 650W; Velocidad: 50 a 3,000 rpm; Par: 7.5 Nm; Mandril: Sujeción rápida (13mm); Certificación: TÜV GS; Peso: Ligero",Consultar,https://pbt.com.bo/producto/taladro-percusor-230-vac3-phds-10-230v/
Taladro a batería PSCS 11-12V,Herramientas,Atornillar y Taladrar,TROTEC,Atornillador inalámbrico de 12V con carga rápida de 1 hora.,"Compacto y manejable, ideal para ensamblaje de muebles y perforación ligera. Ofrece 19 ajustes de par de apriete y una transmisión de 2 marchas para adaptar la fuerza al material (madera hasta 20mm).",Batería: Li-Ion 12V (2.0 Ah); Par máx: 22 Nm; Engranajes: 2 marchas; Mandril: 10mm; Luz: LED integrada; Carga: 1 hora,Consultar,https://pbt.com.bo/producto/taladro-perforador-a-bateria-pscs-11-12v-trotec/
